CustomerID,Days_Since_Last_Purchase,Transaction_Count,Total_Products,Total_Expenditure,Avg_Transaction_Value,Product_Diversity,Avg_Days_Between_Purchases,Preferred_Shopping_Day
12346.0,325.0,2.0,119.0,5342.4,2671.2,2.0,0.0,1.0
12347.0,2.0,7.0,8511.0,431501.0,61643.0,181.0,2.016574585635359,1.0
12348.0,75.0,4.0,1539.0,82378.47,20594.6175,31.0,9.433333333333334,3.0
12349.0,18.0,1.0,3434.0,176075.12,176075.12,73.0,0.0,0.0
12350.0,310.0,1.0,917.0,48173.37,48173.37,17.0,0.0,2.0
12352.0,36.0,11.0,5009.0,241567.46,21960.67818181818,94.0,2.765957446808511,1.0
12353.0,204.0,1.0,195.0,4357.89,4357.89,4.0,0.0,3.0
12354.0,232.0,1.0,3200.0,161522.49,161522.49,58.0,0.0,3.0
12355.0,214.0,1.0,744.0,37648.28,37648.28,13.0,0.0,0.0
12356.0,22.0,3.0,2968.0,161617.98,53872.66,59.0,5.224137931034483,1.0
12357.0,33.0,1.0,7046.0,366359.39999999997,366359.39999999997,130.0,0.0,6.0
12358.0,1.0,2.0,793.0,39673.670000000006,19836.835000000003,19.0,8.277777777777779,1.0
12359.0,7.0,6.0,13075.0,672864.29,112144.04833333334,247.0,1.2806324110671936,3.0
12360.0,52.0,3.0,6039.0,306242.38,102080.79333333333,129.0,1.15625,1.0
12361.0,287.0,1.0,591.0,30437.8,30437.8,10.0,0.0,4.0
12362.0,3.0,13.0,13299.0,688511.11,52962.39307692308,269.0,1.0695970695970696,3.0
12363.0,109.0,2.0,1342.0,53756.56,26878.28,23.0,6.045454545454546,0.0
12364.0,7.0,4.0,4085.0,215049.54,53762.385,85.0,1.25,4.0
12365.0,291.0,3.0,1046.0,59638.3,19879.433333333334,23.0,0.0,0.0
12367.0,4.0,1.0,588.0,25839.440000000002,25839.440000000002,11.0,0.0,0.0
12370.0,51.0,4.0,8480.0,417753.02999999997,104438.25749999999,167.0,1.8614457831325302,1.0
12371.0,44.0,2.0,3307.0,167307.32,83653.66,62.0,0.24193548387096775,1.0
12372.0,71.0,3.0,2374.0,115169.81,38389.93666666667,51.0,4.411764705882353,2.0
